Title,Number of review,Category,Review Comment,Popular food,Online Order,length,word_count,sentiment_score,subjectivity_score,sentiment_class,sentiment_intensity,length_quartile,performance_category
Ivan Ramen,389,"American, Bar",“Anniversary Dinner”,No,No,20,2,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Hell's Kitchen,286,Italian,“Amazing variety”,No,No,17,2,0.6000000000000001,0.9,Positive,0.6000000000000001,Very Short,"Stars (High Sentiment, High Volume)"
Morton Williams - 57th St,111,Italian,“Best cocktails”,No,No,16,2,1.0,0.3,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
David Burke Tavern,114,"American, Steakhouse",“Highlights were the tuna tartare appetizer and the salmon entree.”,Tuna,Yes,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Ribalta Pizza,905,"Italian, Pizza","“Very good pizza, but a Michelin mention?”",Foie Gras,Yes,42,7,0.9099999999999999,0.7800000000000001,Positive,0.9099999999999999,Medium,"Stars (High Sentiment, High Volume)"
Raoul's,416,French,“... (A MUST!) and had soft shell crab special and foie Gras for main course.”,Cold Noodles,Yes,78,15,0.20793650793650795,0.41825396825396827,Positive,0.20793650793650795,Long,"Popular but Declining (Low Sentiment, High Volume)"
Ayza Wine & Chocolate Bar,584,Wine Bar,“Best experience”,Truffle Fries,Yes,17,2,1.0,0.3,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
O'Hara's Restaurant & Pub,1473,"American, Irish",“Banging chicken wings.”,Eggs Benedict,Yes,24,3,-0.6,0.95,Negative,0.6,Short,"Popular but Declining (Low Sentiment, High Volume)"
Momofuku Noodle Bar,1473,"Japanese, Asian",“Spicy cold noodles weren’t spicy at all.”,Vegetarian,Yes,42,7,-0.6,1.0,Negative,0.6,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Motorino East Village,290,"Italian, Pizza",“Excellent Pizza”,Steak,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Flex Mussels,259,"American, Seafood",“We also shared a truffle fries .”,Diner,Yes,34,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Fiat Cafe,390,"Italian, Cafe","“The service and friendly staff was a highlight…The Eggs Benedict were divine,...”",Pasta,Yes,82,12,0.375,0.5,Positive,0.375,Long,"Stars (High Sentiment, High Volume)"
Jimmy's Corner,531,Pub,“Cheap and very cheerful”,Bagels,Yes,25,4,0.46,0.85,Positive,0.46,Short,"Stars (High Sentiment, High Volume)"
Veselka,1063,"Soups, Eastern European",“The vegetarian stuffed cabbage I would pass next time.”,Tuna,Yes,56,9,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
STATE Grill and Bar,351,"American, Grill",“Popped in for a steak ahead of going up the Empire State Building.”,Lobster,Yes,68,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Sichuan Hot Pot Cuisine,87,"Chinese, Seafood",“Great spot in Chinatown!”,Carbonara,Yes,26,4,1.0,0.75,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Times Square Diner,2409,"American, Diner",“... a theater workshop and an afternoon Broadway show - this diner was perfect!”,Bagels,Yes,81,14,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Burger & Lobster,1100,"American, Seafood",“Tasty Burgers with Lobsters”,Ribeye,Yes,29,4,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Masseria Dei Vini,604,"Italian, Mediterranean",“It was on my friend’s radar since it offered gluten-free pasta.”,Lobster Bisque,Yes,65,11,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Stage Door Deli,539,"American, Pizza",“Best bagels ever”,Pancakes,Yes,18,3,1.0,0.3,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Hillstone,654,"American, Bar","“... Dip, my husband had the Spicy Tuna roll which he said was outstanding.”",Chili,Yes,76,14,0.5,0.875,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,Salmon,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
The Landmark Tavern,387,"European, Central American",“Great desserts”,Crab Cakes,Yes,16,2,0.8,0.75,Positive,0.8,Very Short,"Stars (High Sentiment, High Volume)"
Dudley's,301,"American, Bar",“Wonderful Food & Service”,Salad,Yes,26,4,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Jean Georges,1963,French,"“... replaced the rack of lamb for a lobster dish which she loved, I had the L...”",Pasta Dishes,Yes,82,17,0.7,0.8,Positive,0.7,Long,"Stars (High Sentiment, High Volume)"
Uncle Paul's Pizza,840,"Italian, Pizza","“I had the lasagna, my husband had the carbonara, and my son the Pesto gnocchi...”",Feijoada,No,82,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Baz Bagel and Restaurant,293,"American, Cafe",“Baz Bagel offers great bagels and very tasty smoothies.”,Wings,No,57,9,0.3666666666666667,0.35000000000000003,Positive,0.3666666666666667,Long,"Stars (High Sentiment, High Volume)"
Ben & Jack's Steakhouse,87,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,Clam Chowder,No,82,12,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
Sea Fire Grill,1137,"Steakhouse, Bar",“The lobster bisque was velvety and luscious.”,Fries,No,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
New York Luncheonette,1167,"American, Diner",“The pancakes are amazing as is the Fren...”,No,No,44,8,0.6000000000000001,0.9,Positive,0.6000000000000001,Long,"Stars (High Sentiment, High Volume)"
Red Farm,683,"Chinese, Asian",“Three Chili Chicken was perfectly spiced.”,No,No,43,6,0.2,0.975,Positive,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Gotham Restaurant,1762,"American, Bar",“Followed by the Atlantic Char which I’d never had before it was like salmon o...”,No,No,82,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
John's of Bleecker Street,1854,"Italian, Pizza",“Wow”,No,No,5,1,0.1,1.0,Neutral,0.1,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Meatball Shop - Hell's Kitchen,1104,Contemporary,“... meatballs with warm spicy sauce for me an a nice salad with chicken for her.”,No,No,82,16,0.19999999999999998,0.85,Positive,0.19999999999999998,Long,"Popular but Declining (Low Sentiment, High Volume)"
Etcetera Etcetera,568,"Mediterranean, Italian",“The Pasta dishes were outstanding.”,No,No,36,5,0.5,0.875,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Via Brasil Restaurant,479,"Brazilian, Latin","“... for great feijoada and capirinhas, ...”",No,No,44,7,0.8,0.75,Positive,0.8,Long,"Stars (High Sentiment, High Volume)"
Sean's Bar And Kitchen,438,"American, Irish",“... didn’t want a huge meal so decided to have wings and fries with our drinks.”,No,No,81,16,0.39999999999999997,0.9,Positive,0.39999999999999997,Long,"Stars (High Sentiment, High Volume)"
The Capital Grille,402,"American, Steakhouse","“... steak, grilled asparagus and clam chowder all of which were exceptional.”",No,No,78,12,0.6666666666666666,1.0,Positive,0.6666666666666666,Long,"Stars (High Sentiment, High Volume)"
All Stars Sports Bar & Grill,21,"Bar, Pub","“The fries were terrific also, hot crisp...”",No,No,44,7,0.16666666666666666,0.7555555555555555,Positive,0.16666666666666666,Long,"Needs Improvement (Low Sentiment, Low Volume)"
The Marshal,323,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,Pizza,Yes,43,8,0.5,0.65,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Nocello,441,Italian,“... roasted lobster and scampi in red s...”,Lobster,Yes,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Mastro's Steakhouse,688,"American, Steakhouse",“My kids all had the filet mignon.”,Filet Mignon,Yes,35,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Cuba,475,"Caribbean, Latin",“We had the salmon dish which was wonderful and a paella.”,Salmon,Yes,58,11,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Monte's Trattoria,539,Italian,“My wife had the chicken parmigiana and loved it.”,Chicken Parmigiana,Yes,50,9,0.04999999999999999,0.875,Neutral,0.04999999999999999,Long,"Popular but Declining (Low Sentiment, High Volume)"
Delmonico's,1024,"American, Steakhouse",“I had their eggs Benedict and they were...”,Benedict,Yes,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,Salad,Yes,17,3,0.3,0.1,Positive,0.3,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Blue Dog Cookhouse & Bar,479,"American, Bar","“My wife and I shared a salad which was just OK for a salad, and my wife order...”",Salad,Yes,82,18,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
PRINT.,992,American,“Very Good Farm to Table Cooking”,Farm To Table,Yes,33,6,0.9099999999999999,0.7800000000000001,Positive,0.9099999999999999,Medium,"Stars (High Sentiment, High Volume)"
Capizzi,1791,"Italian, Pizza",“The cannoli was just beyond amazing and I know tomorrow I’m going to be wishi...”,Cannoli,Yes,82,15,0.6000000000000001,0.9,Positive,0.6000000000000001,Long,"Stars (High Sentiment, High Volume)"
Whiskey Tavern,181,"American, Bar",“Great Friday night while visiting NY”,Sashimi,Yes,38,6,0.8,0.75,Positive,0.8,Medium,"Stars (High Sentiment, High Volume)"
Momoya Chelsea,250,"Japanese, Sushi",“Delicious sushi & sashimi!”,Lamb,Yes,28,4,1.0,1.0,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
Casa Soglia,1,"Italian, Mediterranean",“Can't Miss”,Pasta Dishes,Yes,12,2,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
The Dead Rabbit,1374,"Irish, Bar",“High quality inventive ramen. Enjoy!”,Salad,Yes,38,5,0.3866666666666667,0.68,Positive,0.3866666666666667,Medium,"Stars (High Sentiment, High Volume)"
Hakata Ippudo NY,620,"Japanese, Asian","“... which was excellent and fun- matched with the duck, the lamb and the ragu.”",Tuna,Yes,80,15,0.65,0.6,Positive,0.65,Long,"Stars (High Sentiment, High Volume)"
Union Square Cafe,1377,American,“Both the pasta dishes my husband and I ate were fantastic and my son’s filet...”,Burger,Yes,81,15,0.4,0.9,Positive,0.4,Long,"Stars (High Sentiment, High Volume)"
Da Andrea Ristorante,355,"Italian, Pizza","“... that had a salad, s’mores, veggies ...”",Sandwiches,Yes,44,8,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Gyu-Kaku Japanese BBQ,419,"Japanese, Barbecue",“Highlights were the tuna tartare appetizer and the salmon entree.”,Salmon,Yes,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
David Burke Tavern,114,"American, Steakhouse",“... was super.The main course burger was extremely filling especially with it...”,Cannoli,Yes,82,12,0.013888888888888886,0.7777777777777777,Neutral,0.013888888888888886,Long,"Popular but Declining (Low Sentiment, High Volume)"
The Polo Bar,654,American,"“Sandwiches are great, especially hot pastrami, even matzo ball soup is flavor...”",Halibut,Yes,82,12,0.65,0.875,Positive,0.65,Long,"Stars (High Sentiment, High Volume)"
Barney Greengrass,567,"Eastern European, Israeli",“Had the everything bagel with salmon an...”,Mediterranean Food,Yes,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Leo's Bagels,400,"American, Fast Food",“Dessert was a large cannoli with white chocolate filling.”,Dim Sum,No,59,9,0.10714285714285714,0.21428571428571427,Positive,0.10714285714285714,Long,"Popular but Declining (Low Sentiment, High Volume)"
pizzArte,1392,"Italian, Pizza",“Tommylicious”,Rice,No,14,1,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
Tommy Bahama Restaurant & Bar,512,"American, Bar",“Good experience for dinner”,Crab Cakes,No,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Stars (High Sentiment, High Volume)"
Allora Fifth Ave,9,"Italian, Mediterranean",“Delicious noodles”,Astice,No,19,2,1.0,1.0,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Saigon Shack,277,"Asian, Vietnamese",“Great place”,Goat Cheese Salad,No,13,2,0.8,0.75,Positive,0.8,Very Short,"Stars (High Sentiment, High Volume)"
Rainbow Room,699,"American, Contemporary",“Large menu with lots of interesting choices; Malai halibut very good (overpri...”,No,No,82,12,0.5414285714285714,0.5695238095238095,Positive,0.5414285714285714,Long,"Stars (High Sentiment, High Volume)"
Tamarind - Tribeca,753,Indian,“Nice Meal. Ko has “slightly” lost the...”,No,No,42,7,0.21666666666666667,0.5833333333333334,Positive,0.21666666666666667,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Momofuku Ko,418,"Asian, International",“Extraordinary Mediterranean food at an affordable price”,No,No,57,7,0.3333333333333333,1.0,Positive,0.3333333333333333,Long,"Stars (High Sentiment, High Volume)"
Boulud Sud,932,Mediterranean,“Perfect Picnic did a wonderful job...”,No,No,39,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Perfect Picnic,49,"Italian, American",“Dim Sum for beginners”,No,No,23,4,0.1,0.5,Neutral,0.1,Short,"Popular but Declining (Low Sentiment, High Volume)"
Shanghai 21,391,"Chinese, Asian",“The bowl was steaming hot and the hot stone kept the rice and meat dish hot t...”,No,No,82,17,0.25,0.8500000000000001,Positive,0.25,Long,"Popular but Declining (Low Sentiment, High Volume)"
Barn Joo 35,251,"Asian, Korean","“The meal was excellent, I had crab cakes and the rib eye steak and my wife ha...”",No,No,82,17,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
West Side Steakhouse,1105,"American, Steakhouse",“Our next course we chose Astice (Lobste...”,No,No,44,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Marea,2364,"Italian, American","“We had clam chowder, goat cheese salad and duck cassoulet.”",No,No,60,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Bistro Les Amis,385,"French, European",“Great food ; good price”,No,No,25,5,0.75,0.675,Positive,0.75,Short,"Stars (High Sentiment, High Volume)"
KOBA Korean Bbq,5,"Asian, Korean",No,No,No,2,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",Steak,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
La Grenouille,919,French,“We started with a shaved smoked salmon...”,Salmon,Yes,43,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Clinton St. Baking Company & Restaurant,1513,"American, Cafe",“One of the best eggs benedict”,Eggs Benedict,Yes,31,6,1.0,0.3,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Mighty Quinn's Barbeque,667,"American, Southwestern",“Delicious Food!”,Trout,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Cookshop,1123,American,"“... as well as drinks and ordered a pizza, two salads, and the trout to share.”",Crab Cakes,Yes,80,16,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Carbonara,Yes,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Lupa Osteria Romana,983,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",Salad,Yes,82,13,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
5 Napkin Burger,4358,"American, Contemporary","“... every way, cooked exactly as I requested and the salad was also very good.”",Pizza,Yes,80,15,0.58,0.5150000000000001,Positive,0.58,Long,"Stars (High Sentiment, High Volume)"
Artichoke Basille's Pizza,718,"Italian, American",“Sensational pizza!”,Filet Mignon,Yes,20,2,0.8333333333333333,0.6666666666666666,Positive,0.8333333333333333,Short,"Stars (High Sentiment, High Volume)"
Robert,1675,"American, European",“Then we had the filet mignon and finished off the repast with the trio desser...”,Beef,Yes,82,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Tasty Hand Pulled Noodles,411,"Chinese, Asian",“We had a beef noodle soup and a chicken w vegetables wok dish; both were outs...”,Bagels,Yes,82,16,-0.6,0.95,Negative,0.6,Long,"Popular but Declining (Low Sentiment, High Volume)"
Pure & Fresh,248,American,“Walk in and create what you want”,French Toast,Yes,34,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Rico Bagel,3,"American, Cafe",“One of the best bagels in the city!”,Hummus,Yes,37,8,1.0,0.3,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
The Bluebell Cafe,276,"American, Cafe",“The French Toast was to die for.”,Oysters,Yes,34,7,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Cafe Mogador,567,"Moroccan, Mediterranean",“Amazing traditional hummus.”,Curry,Yes,29,3,0.30000000000000004,0.825,Positive,0.30000000000000004,Medium,"Stars (High Sentiment, High Volume)"
Osteria Morini,757,Italian,“Excellent Italian Sunday Brunch”,Jambalaya,Yes,33,4,0.5,0.5,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Crave Fishbar,459,"American, Seafood",“Sustainable delicious food and friendly staff Different selections of oysters...”,Salad,Yes,82,10,0.4583333333333333,0.7000000000000001,Positive,0.4583333333333333,Long,"Stars (High Sentiment, High Volume)"
Franchia Vegan Cafe,403,"Sushi, Asian",“Ordered lunch special ( Drunken Basil Noodles & Vegetable Curry Hot Pot) that...”,Pancakes,Yes,82,13,0.3035714285714286,0.7107142857142857,Positive,0.3035714285714286,Long,"Stars (High Sentiment, High Volume)"
